"CONTACT","CONTPHONE","CONTRACT","DIMENSIONS","DOL_NUM","EVENTPRO_LOT","FEATURETYPE","INSPECTS","LOC_NAME","LOT_LOC","MAP_PAGE","NAMELABEL","OBJECTID","ORIG_FID","PRODUCT","SUB","TICKETS","URL","VENDORTYPE","y","x"
"","","Davis Concessions","20 X 29","","LOT G13.3","Vendor","F&D","Grandstand","G-13.3","Page 7","Davis Con.",1,1,"Cotton Candy, Candy Apples, Caramel Corn & Confections","","","","",35.795005,-78.71098
"","","Barb Wilson Enterprises Inc.","21 X 29","","LOT G13.1","Vendor","F&D","Grandstand","G-13.1","Page 7","Barb Wilson",2,2,"Frozen Banana, Floats, Sundaes & Ice Cream","","","","",35.794956,-78.711054
"","","Chesapeake Food Concessions, Inc.","16 X 26","","LOT C025","Vendor","WAKE","C Lot","C-25","Page 3","Chesapeake ",3,3,"Hot Dogs, Italian Sausage, Cheese Steak, Fries, Corndogs, Turkey Legs & Drinks","","","","",35.795002,-78.712085
"","","Got To Be NC Dairy Products","10X10","","LOT E010-DEMO","Vendor","F&D","Graham/Dorton","E-10","Page 6","Got2Be Nc",4,4,"Cheese & Goat Milk Ice Cream (Shake And Make) Demonstration - Gratis ","","","","",35.794129,-78.711411
"","","Benjamin Merrill Dba Rockin' Comet Diner","20 X 30","","LOT E007","Vendor","WAKE","Graham/Dorton","E-7","Page 6","Rockin' Comet Diner",5,5,"BBQ, Beef, Chicken, Pork Ribs, Corn & Drinks","","","","",35.793978,-78.711343
"","","Eagle Concessions, Inc.","24 x 13","","LOT D013","Vendor","F&D","D Lot","D-13","Page 4","Eagle Con.",6,6,"Confection","","","","",35.794464,-78.711394
"","","Tabron, Nick","10 X 8","","LOT D003","Vendor","OTHER","D Lot","D-3","Page 4","Tabron, Nick",7,7,"Cariacutures","","","","",35.794762,-78.710726
"","","Pinson Novelties","17 X 10","","LOT D002","Vendor","OTHER","D Lot","D-2","Page 4","Pinson",8,8,"Novelties","","","","",35.794731,-78.710871
"","","Exchange Club Of New Hope/Wilders","31 X 26","","LOT P003","Vendor","WAKE","Grandstand","P-3","Page 7","Exchange Club",9,9,"BBQ Ribs, Italian & Polish Sausage, London Broil, Burgers, Hot Dogs, Fries & Drinks","","","","",35.795045,-78.711438
"","","Clark, Lorene","20 X 14","","LOT L001","Vendor","WAKE","L Lot","L-01","Page 15","Clark, L",10,10,"Italian & Polish Sausage, Corn/Hot Dogs, Root Beer, Hamburgers, Fries, ","","","","",35.795265,-78.708516
"","","M Goldburg Associates","11 x 11","","LOT L011","Vendor","OTHER","L Lot","L-11","Page 15","Goldburg",11,11,"Novelty","","","","",35.795199,-78.709013
"","","Old Style Foods","8 X 12","","LOT I004","Vendor","F&D","I Lot","I-04","Page 11","Old Style Foods",12,12,"Coffee & Sweet Tea","","","","",35.794894,-78.709857
"","","Clark, Lorene","14 X 18","","LOT I009","Vendor","WAKE","I Lot","I-09","Page 11","Clark, L",13,13,"Corn Dogs, Nachos, Drinks/Water, Snowie Ice & Slush","","","","",35.794995,-78.709547
"","","Beaver, Michael & Sheila","15 X 28","","LOT I010","Vendor","WAKE","I Lot","I-10","Page 11","Beaver, M",14,14,"Funnel Cakes, Krispy Kreme Burger, Hawaiian Burger (Pineapple And Teriyaki Sauce), BBQ, & Cole Slaw), Bacon Cheeseburger With Mac & Cheese, Flamin' Hot Burger (Cheese, Bacon, Jalapeno & Chipotle Sauce), Fresh Strawberries & Creme Filled Doughnut, Soda & Water","","","","",35.795009,-78.709474
"","","Connies Corn","10 X 20","","LOT I007","Vendor","WAKE","I Lot","I-07","Page 11","Connies Corn",15,15,"Roasted Corn, Pickle & Drinks","","","","",35.795037,-78.709424
"","","Woodys Sports Tavern & Grill","12 X 21","","LOT G 15.5","Vendor","WAKE","Lunchstand","G-15.5","Page 8","Woody's Tavern",16,16,"Chicken Wings, Boneless Wings, Spicy Buffalo Chicken Rangoons, Fried Pickles, Tenders, Thanksgiving Egg Rolls, Philly Cheese Steak Egg Rolls, Baked Pimento Cheeseburger Egg Roll, Shrimp And Cheese Grits Egg Roll,  Deep Fried Cheesecake, Soft Drinks (No Hot Dogs Or Sausage) & Cigarettes","","","","",35.795087,-78.710657
"","","NCSU Food Science","13 X 20","","LOT G001","Vendor","F&D","Grandstand","G-1","Page 7","NCSU Q-Line",17,17,"Line For NCSU Food Science","","","","",35.795435,-78.712581
"","","Jenks Concessions","22 X 16","","LOT J004","Vendor","F&D","J Lot","J-4","Page 12","Jenks",18,18,"Confections, Drinks & Lemonade","","","","",35.794952,-78.708911
"","","Stewart Old Time Photo","25 X 20","","LOT K - STEWART OLD TIIME","Vendor","OTHER","Dorton/Hillsborough","K","Page 14","Stewart Old Time Photo",19,19,"Old Timey Photos (Mats & Frames). ","","","","",35.793226,-78.7108
"","","Mobility Concepts","30 X 30","","LOT F011","Vendor","OTHER","Gate 10","F-11","none","Mobility Concepts",20,21,"Handicapped Scooters (Electrics), Strollers, Wheelchairs & Wagons ","","","","",35.797264,-78.708964
"","","Mcbride Concessions","53 X 0","","LOT H-01","Vendor","WAKE","Scott South","H-1","Page 10","Mcbride",21,22,"Ribs, Chicken, BBQ, Polish/Italian Sausage, Steak Subs, Hot/Corn Dogs, Burgers, Fries, Veg & Drinks","","","","",35.795481,-78.709046
"","","Pinson, Martin","18 X 18","","LOT H-07","Vendor","OTHER","Scott North","H-7","Page 9","Pinson",22,23,"Novelties","","","","",35.795902,-78.709318
"","","Lees Kitchen","20 X 12","","LOT H-6.1","Vendor","WAKE","Scott North","H-6.1","Page 9","Lees Kitchen",23,24,"Jerk/Curry/Brownstew Chicken, Rice & Peas, Fried Fish, Fries, Mixed Veggies, Plaintains, Beef Patties, Coco Bread, Ox Tails, Water & Drinks. ","","","","",35.795924,-78.709249
"","","Brinkley Entertainment","32 X 30","","LOT G015","Vendor","WAKE","Lunchstand","G-15","Page 8","Brinkley Ent",24,25,"Steak/Cheese, Polish & Ital, Sausage, Hot/Corn Dogs, Fries, Onion Rings, Chicken Nuggets & Drinks","","","","",35.794948,-78.710655
"","","Mrk & J Concessions","25 x 40","","LOT A-11","Vendor","F&D","A Lot","A-11","Page 1","Mrk & J Con",25,26,"Chocolate Chip Cookies, Water & Milk","","","","",35.795169,-78.712616
"","","Als French Fries","10 X 14","","LOT G012","Vendor","WAKE","Grandstand","G-12","Page 7","Als ",26,27,"French Fries & Drinks","","","","",35.795059,-78.711585
"","","F&W Concessions, Inc.","18 X 26","","LOT G011","Vendor","WAKE","Grandstand","G-11","Page 7","F & W Con",27,28,"London Broil, Steak & Chicken Sandwich & Drinks","","","","",35.795086,-78.711641
"","","Normant Rick","37 X 18","","LOT G010","Vendor","F&D","Grandstand","G-10","Page 7","Normant, Rick",28,29,"Taffy, Fudge & Cotton Candy","","","","",35.795117,-78.711761
"","","Denning, Dan","12 X 8","","LOT G009","Vendor","OTHER","Grandstand","G-9","Page 7","Denning, Dan",29,30,"Novelties - T-Shirts & Hats","","","","",35.795136,-78.711869
"","","Libbertt Concessions","13 X 20","","LOT B009","Vendor","F&D","B Lot","B-9","Page 2","Libbertt Con",30,31,"Ice Cream, Shakes, Sundaes And Soda.","","","","",35.795217,-78.712429
"","","The Dog Wagon","14 X 21","","LOT B010","Vendor","WAKE","B Lot","B-10","Page 2","The Dog Wagon",31,32,"Hot/Corn Dogs, Fries, Sausage Dogs, Italian & Polish Sausage, Chicken Tenders, Soda, Tea & Water.","","","","",35.795204,-78.712374
"","","Barb Wilson Enterprises Inc.","18 X 18","","LOT B011","Vendor","WAKE","B Lot","B-11","Page 2","Barb Wilson Enterprises",32,33,"Pizza & Drinks","","","","",35.795187,-78.712317
"","","Mcbride Concessions","25 X 10","","LOT B","Vendor","WAKE","B Lot","B-12","Page 2","Mcbride ",33,34,"Turkey Legs, Ital/Polish Sausage, Philly Steak/Cheese, Hot/Corn Dogs, Fries, Veg, Onion Rings, Ribs, Confections & Drinks","","","","",35.795147,-78.712185
"","","Poutine Gourmet","20 X 15","","LOT B003","Vendor","WAKE","B Lot","B-3","Page 2","Poutine Gourmet",34,35,"Poutine - French Fries, Cheese Curds, Gravy, Pulled Chicken And Pork, Ground Beef, Soda & Water.","","","","",35.795085,-78.712197
"","","Best Around Concessions","23 X 10","","LOT B005","Vendor","F&D","B Lot","B-5","Page 2","Best Around Concessions",35,36,"Cotton Candy, Candy Apples, Popcorn, Caramel Corn & Drinks","","","","",35.795074,-78.712373
"","","Jlnguyeninc Dba Chans Concessions","24 X 12","","LOT B006","Vendor","WAKE","B Lot","B-6","Page 2","Jlnguyeninc ",36,37,"Chicken On A Stick, Fried Shrimp, Rice, Veggie Rice, Lo Mein Noodle, Egg Rolls, Water & Soda","","","","",35.795139,-78.7124
"","","Mazzarella Pizza, Inc.","30 X 30","","LOT A013","Vendor","WAKE","A Lot","A-13","Page 1","Maz. Pizza",37,38,"Pizza, Pizza Cone, Stromboli & Drinks","","","","",35.795254,-78.712618
"","","Jenks Concessions","22 X 15","","LOT C023","Vendor","F&D","C Lot","C-23","Page 3","Jenks ",38,39,"Confections & Drinks","","","","",35.794928,-78.712258
"","","Anderson And Daughters","18 X 24","","LOT C021","Vendor","WAKE","C Lot","C-21","Page 3","Anderson",39,40,"Cobbler, Bake Potato, Hot Dogs, Fries, Hamburgers, Soup, Ham/Sausage Biscuits, Blt & Drinks","","","","",35.794705,-78.712102
"","","South Raleigh Civitan","16 X 24","","LOT C020","Vendor","WAKE","C Lot","C-20","Page 3","South Raleigh Civitan",40,41,"Hot Dogs, Fries, Candy, Drug Store, Tobacco, Cigarettes, Snuff, Chocolate, Chick-Fil-A-Chicken","","","","",35.794611,-78.712045
"","","The Cary Inn","20 X 24","","LOT C018","Vendor","WAKE","C Lot","C-18","Page 3","The Cary Inn",41,42,"Hot Dogs, Hamburgers, French/Cheese Fries, Nachos, Chicken Wings, Water, Soda & Energy Drinks.","","","","",35.794549,-78.712007
"","","Mcbride Concessions","51 X 0","","LOT C016","Vendor","WAKE","C Lot","C-16","Page 3","Mcbride ",42,43,"Turkey Legs & Drinks","","","","",35.794451,-78.711899
"","","Als French Fries","9 X 19","","LOT C014","Vendor","WAKE","C Lot","C-14","Page 3","Als",43,44,"French Fries & Drinks","","","","",35.794306,-78.71186
"","","Captain Neils Seafood","18 X 12","","LOT C012","Vendor","WAKE","C Lot","C-12","Page 3","Neils Dining Area",44,45,"Seating ","","","","",35.794291,-78.711794
